SET,SUBSET,TIME,SETTING,LRMC,RRMC,t,steer_ang,vx,imu_accel_x,imu_accel_y,imu_accel_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,X,Y,vy,yaw,yaw_rate,hitch,hitch_rate
6_19_25,04,D,M,D:\Tahn\6_19_25\cameras\04\LRMC\LRMC1.jpg,D:\Tahn\6_19_25\cameras\04\RRMC\RRMC1.jpg,0,0.0024209,25.3038,-0.37899,0.35411,-10.7293,-0.087005,-0.09341,0.088095,-3.66383719e-10,-4.87705651e-10,0.012598,-0.10935,-0.0021428,0.0034261,0.0017351
6_19_25,04,D,M,D:\Tahn\6_19_25\cameras\04\LRMC\LRMC2.jpg,D:\Tahn\6_19_25\cameras\04\RRMC\RRMC2.jpg,0.01339771,0.0022256,25.3255,-0.39055,0.24873,-9.46488,0.024236,0.027213,-0.031941,0.334140385,-0.0426171345,0.0077339,-0.10934,0.0013877,0.0033391,-0.0020757
6_19_25,04,D,M,D:\Tahn\6_19_25\cameras\04\LRMC\LRMC3.jpg,D:\Tahn\6_19_25\cameras\04\RRMC\RRMC3.jpg,0.1866632,0.0022256,25.3559,-0.44097,0.1858,-9.60494,-0.010238,0.010433,-0.0047855,4.67775399,-0.593391986,0.014277,-0.1094,-0.0070059,0.0032445,0.0047069
6_19_25,04,D,M,D:\Tahn\6_19_25\cameras\04\LRMC\LRMC4.jpg,D:\Tahn\6_19_25\cameras\04\RRMC\RRMC4.jpg,0.28686825,0.0022256,25.3602,-0.37489,0.087223,-9.7108,-0.016562,0.0055797,0.007018,7.18512229,-0.913019515,-0.0041193,-0.10946,-0.00068442,0.0032418,-0.00097337
6_19_25,04,D,M,D:\Tahn\6_19_25\cameras\04\LRMC\LRMC5.jpg,D:\Tahn\6_19_25\cameras\04\RRMC\RRMC5.jpg,0.37333953,0.0022256,25.395,-0.17981,0.1008,-9.46522,0.0022998,0.0093164,-0.0031242,9.36192575,-1.19140329,0.0064732,-0.1096,0.0021103,0.0032477,-0.0040983
6_19_25,04,D,M,D:\Tahn\6_19_25\cameras\04\LRMC\LRMC6.jpg,D:\Tahn\6_19_25\cameras\04\RRMC\RRMC6.jpg,0.5398897,0.0023428,25.4253,-0.23718,0.15164,-9.50517,0.0026855,-0.0076603,-0.00076106,13.5447866,-1.77837434,0.0032339,-0.10949,0.00018884,0.0030988,4.1059e-06
6_19_25,04,D,M,D:\Tahn\6_19_25\cameras\04\LRMC\LRMC7.jpg,D:\Tahn\6_19_25\cameras\04\RRMC\RRMC7.jpg,0.59992505,0.0026944,25.4601,-0.40703,0.13509,-9.71776,0.00088174,-0.014523,-0.00072901,15.0560884,-1.97223408,0.02631,-0.10982,-0.0055476,0.003345,0.0034396
6_19_25,04,D,M,D:\Tahn\6_19_25\cameras\04\LRMC\LRMC8.jpg,D:\Tahn\6_19_25\cameras\04\RRMC\RRMC8.jpg,0.68653141,0.0030459,25.4774,-0.53589,0.23517,-9.88318,-0.00071863,-0.001462,-0.0015963,17.2386783,-2.25071898,0.0097584,-0.10975,-0.0043078,0.0031841,0.0029451
6_19_25,04,D,M,D:\Tahn\6_19_25\cameras\04\LRMC\LRMC9.jpg,D:\Tahn\6_19_25\cameras\04\RRMC\RRMC9.jpg,0.81993042,0.0034756,25.5078,-0.3936,0.17391,-9.72779,-0.0037739,0.013755,0.00033068,20.5985484,-2.6798457,0.01054,-0.10991,-0.00942,0.0032014,0.0085521
6_19_25,04,D,M,D:\Tahn\6_19_25\cameras\04\LRMC\LRMC10.jpg,D:\Tahn\6_19_25\cameras\04\RRMC\RRMC10.jpg,0.89997631,0.0039444,25.5295,-0.25526,0.034095,-9.44912,-0.0034174,0.0089406,-0.00050506,22.6177483,-2.93851105,-0.0045555,-0.10984,0.0039721,0.003138,-0.0049464
