SET,SUBSET,TIME,SETTING,LRMC,RRMC,t,steer_ang,vx,imu_accel_x,imu_accel_y,imu_accel_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,X,Y,vy,yaw,yaw_rate,hitch,hitch_rate
6_19_25,05,D,M,D:\Tahn\6_19_25\cameras\05\LRMC\LRMC1.jpg,D:\Tahn\6_19_25\cameras\05\RRMC\RRMC1.jpg,0,0.0040225,11.3325,0.26456,-0.62143,-9.78883,0.0054843,0.0022807,-0.0044563,5.21918727e-10,-8.0967619e-10,-0.014418,-0.78381,-0.0034338,0.0027914,0.0019716
6_19_25,05,D,M,D:\Tahn\6_19_25\cameras\05\LRMC\LRMC2.jpg,D:\Tahn\6_19_25\cameras\05\RRMC\RRMC2.jpg,0.093243573,0.0040225,11.3672,0.1632,0.87588,-9.28666,0.012684,-0.00077824,0.0017253,0.737328412,-0.76464651,-0.015686,-0.78369,0.0019442,0.0026585,-0.0015662
6_19_25,05,D,M,D:\Tahn\6_19_25\cameras\05\LRMC\LRMC3.jpg,D:\Tahn\6_19_25\cameras\05\RRMC\RRMC3.jpg,0.1068916,0.0040225,11.4106,-0.33472,1.0521,-9.25669,-0.012235,-0.0078839,-0.0043354,0.842934449,-0.87401704,-0.0053743,-0.78369,5.0784e-05,0.0027265,0.00019193
6_19_25,05,D,M,D:\Tahn\6_19_25\cameras\05\LRMC\LRMC4.jpg,D:\Tahn\6_19_25\cameras\05\RRMC\RRMC4.jpg,0.27336528,0.0040225,11.4323,-0.0092598,0.3674,-9.10744,0.010033,-0.0066518,0.0023947,2.17098428,-2.2426916,0.013642,-0.78383,0.0041406,0.002869,-0.0058849
6_19_25,05,D,M,D:\Tahn\6_19_25\cameras\05\LRMC\LRMC5.jpg,D:\Tahn\6_19_25\cameras\05\RRMC\RRMC5.jpg,0.4133194,0.0037491,11.5148,0.56582,0.43503,-8.89092,-0.0081569,0.00088139,0.00033236,3.28961001,-3.3967268,0.0054543,-0.78362,-0.0014191,0.0026249,0.00085012
6_19_25,05,D,M,D:\Tahn\6_19_25\cameras\05\LRMC\LRMC6.jpg,D:\Tahn\6_19_25\cameras\05\RRMC\RRMC6.jpg,0.47356808,0.0033194,11.5495,-0.1382,0.36317,-9.42818,0.014513,-0.0015015,-0.0080484,3.7704296,-3.8927495,-0.0031528,-0.78347,0.0024651,0.0023244,-0.0050724
6_19_25,05,D,M,D:\Tahn\6_19_25\cameras\05\LRMC\LRMC7.jpg,D:\Tahn\6_19_25\cameras\05\RRMC\RRMC7.jpg,0.60001292,0.0032022,11.5495,-0.57278,0.14315,-9.91899,-0.0080966,-0.010445,-0.0023839,4.7899342,-4.9472509,0.0039455,-0.78348,-0.0017144,0.0023905,0.0031416
6_19_25,05,D,M,D:\Tahn\6_19_25\cameras\05\LRMC\LRMC8.jpg,D:\Tahn\6_19_25\cameras\05\RRMC\RRMC8.jpg,0.6934482,0.0032022,11.5885,-0.16145,0.018123,-9.96114,0.013688,0.0062143,-0.00024161,5.54345923,-5.7250909,-0.0048804,-0.78353,-0.00042671,0.0025452,0.0014895
6_19_25,05,D,M,D:\Tahn\6_19_25\cameras\05\LRMC\LRMC9.jpg,D:\Tahn\6_19_25\cameras\05\RRMC\RRMC9.jpg,0.78000475,0.0032022,11.6189,-0.0039062,0.93282,-9.37297,-0.011805,0.0011018,-0.010526,6.24505473,-6.4494139,-0.0011261,-0.78355,-0.0050284,0.002599,0.0058472
6_19_25,05,D,M,D:\Tahn\6_19_25\cameras\05\LRMC\LRMC10.jpg,D:\Tahn\6_19_25\cameras\05\RRMC\RRMC10.jpg,0.91335869,0.0032022,11.6493,0.36069,-0.94264,-9.11307,0.012049,-0.0055787,-0.0016896,7.33119654,-7.5699872,-0.0099848,-0.78365,0.002532,0.002701,-0.0023823
6_19_25,05,D,M,D:\Tahn\6_19_25\cameras\05\LRMC\LRMC11.jpg,D:\Tahn\6_19_25\cameras\05\RRMC\RRMC11.jpg,1.0133623,0.0032412,11.7231,0.56499,-0.38473,-9.58714,-0.003249,-0.0035928,0.0019876,8.14929292,-8.4155782,-0.0070127,-0.78368,0.0063015,0.0027091,-0.0055973
